franchise_group,platform,total_posts,avg_engagement
Education & Learning,TikTok,71,25.75
Education & Learning,Instagram,106,13.66
Education & Learning,YouTube,48,8.58
Education & Learning,Facebook,73,7.74
Education & Learning,LinkedIn,41,4.15
Education & Learning,Twitter,74,3.84
Entertainment & Gaming,TikTok,133,39.85
Entertainment & Gaming,YouTube,94,11.0
Entertainment & Gaming,Instagram,245,6.97
Entertainment & Gaming,Facebook,183,3.78
Entertainment & Gaming,Twitter,165,2.57
Entertainment & Gaming,LinkedIn,88,1.33
Health & Wellness,TikTok,141,26.28
Health & Wellness,YouTube,78,15.05
Health & Wellness,Instagram,201,10.95
Health & Wellness,Twitter,152,5.16
Health & Wellness,Facebook,165,4.53
Health & Wellness,LinkedIn,73,0.6
Lifestyle & Culture,TikTok,180,62.35
Lifestyle & Culture,YouTube,121,8.58
Lifestyle & Culture,Facebook,236,6.06
Lifestyle & Culture,Twitter,267,5.79
Lifestyle & Culture,Instagram,309,5.05
Lifestyle & Culture,LinkedIn,146,1.25
Sports & Fitness,TikTok,119,33.39
Sports & Fitness,Facebook,159,7.55
Sports & Fitness,YouTube,59,7.05
Sports & Fitness,Instagram,207,6.09
Sports & Fitness,Twitter,178,3.48
Sports & Fitness,LinkedIn,72,0.67
Tech & Business,TikTok,114,46.56
Tech & Business,Facebook,168,11.5
Tech & Business,YouTube,79,8.76
Tech & Business,Instagram,215,7.58
Tech & Business,Twitter,158,3.62
Tech & Business,LinkedIn,82,1.16
